date,sales
2013/07/16,7266404
2013/07/17,6451290
2013/07/18,6386303
2013/07/19,7425017
2013/07/20,7998970
2013/07/21,7775133
2013/07/22,7284372
2013/07/23,6075632
2013/07/24,6445984
2013/07/25,7094207
2013/07/26,7454865
2013/07/27,7645035
2013/07/28,7629266
2013/07/29,6222969
2013/07/30,6981805
2013/07/31,6534272
2013/08/01,6319751
2013/08/02,7608100
2013/08/03,7758200
2013/08/04,7376271
2013/08/05,6733894
2013/08/06,6046643
2013/08/07,6704757
2013/08/08,6199462
2013/08/09,7109934
2013/08/10,7278872
2013/08/11,6675372
2013/08/12,6742523
2013/08/13,7568024
2013/08/14,6899964
2013/08/15,6550082
2013/08/16,7467894
2013/08/17,8386362
2013/08/18,7156390
2013/08/19,6692769
2013/08/20,6953937
2013/08/21,5902682
2013/08/22,6712476
2013/08/23,7341837
2013/08/24,8066901
2013/08/25,6980765
2013/08/26,6933468
2013/08/27,6531567
2013/08/28,6076235
2013/08/29,6339880
2013/08/30,6790822
2013/08/31,7295027
2013/09/01,7568703
2013/09/02,7083659
2013/09/03,6657500
2013/09/04,6651630
2013/09/05,5798893
2013/09/06,8458239
2013/09/07,8308916
2013/09/08,6138962
2013/09/09,7476331
2013/09/10,6924623
2013/09/11,6729766
2013/09/12,6313257
2013/09/13,8359861
2013/09/14,10388247
2013/09/15,6588823
2013/09/16,4478209
2013/09/17,8184330
2013/09/18,7011992
2013/09/19,7181831
2013/09/20,7848734
2013/09/21,8013257
2013/09/22,8067909
2013/09/23,7736365
2013/09/24,7060587
2013/09/25,6229691
2013/09/26,6936906
2013/09/27,7767273
2013/09/28,7871275
2013/09/29,7638867
2013/09/30,7091892
2013/10/01,6804137
2013/10/02,6386792
2013/10/03,7144951
2013/10/04,7465215
2013/10/05,7383270
2013/10/06,7740210
2013/10/07,6917800
2013/10/08,6964946
2013/10/09,6819535
2013/10/10,6825086
2013/10/11,7585593
2013/10/12,8444003
2013/10/13,7652245
2013/10/14,7747182
2013/10/15,7155111
2013/10/16,5596793
2013/10/17,7230211
2013/10/18,10016931
2013/10/19,10199757
2013/10/20,8638335
2013/10/21,9623435
2013/10/22,7694498
2013/10/23,8127170
2013/10/24,7263179
2013/10/25,7300155
2013/10/26,7668687
2013/10/27,8283017
2013/10/28,7338207
2013/10/29,6237689
2013/10/30,7460206
2013/10/31,7171965
2013/11/01,8422357
2013/11/02,8924202
2013/11/03,8686741
2013/11/04,7982695
2013/11/05,7456113
2013/11/06,7453895
2013/11/07,6759907
2013/11/08,8111876
2013/11/09,8876429
2013/11/10,7208745
2013/11/11,6975967
2013/11/12,6862511
2013/11/13,7048883
2013/11/14,7414107
2013/11/15,6902412
2013/11/16,8856481
2013/11/17,8458208
2013/11/18,7168162
2013/11/19,7123773
2013/11/20,7262075
2013/11/21,8822422
2013/11/22,9243272
2013/11/23,9116996
2013/11/24,8486640
2013/11/25,7158495
2013/11/26,7800209
2013/11/27,7079742
2013/11/28,6788925
2013/11/29,8614759
2013/11/30,9809005
2013/12/01,10379116
2013/12/02,8056947
2013/12/03,7637029
2013/12/04,7221184
2013/12/05,6715511
2013/12/06,8551890
2013/12/07,9309194
2013/12/08,9098763
2013/12/09,8191724
